"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 00:12:27 GMT 2022","Wed Sep 21 00:12:34 GMT 2022","6641","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Wed Sep 21 00:13:37 GMT 2022","Wed Sep 21 00:13:43 GMT 2022","6533","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Wed Sep 21 00:13:43 GMT 2022","Wed Sep 21 00:13:51 GMT 2022","7447","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Wed Sep 21 00:13:30 GMT 2022","Wed Sep 21 00:13:37 GMT 2022","6200","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Wed Sep 21 00:11:59 GMT 2022","Wed Sep 21 00:12:15 GMT 2022","15393","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Wed Sep 21 00:13:15 GMT 2022","Wed Sep 21 00:13:26 GMT 2022","11860","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Wed Sep 21 00:13:26 GMT 2022","Wed Sep 21 00:13:30 GMT 2022","3985","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Wed Sep 21 00:12:15 GMT 2022","Wed Sep 21 00:12:18 GMT 2022","2822","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Wed Sep 21 00:12:59 GMT 2022","Wed Sep 21 00:13:07 GMT 2022","7878","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Wed Sep 21 00:12:18 GMT 2022","Wed Sep 21 00:12:22 GMT 2022","4118","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Wed Sep 21 00:12:34 GMT 2022","Wed Sep 21 00:12:42 GMT 2022","7788","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Wed Sep 21 00:12:42 GMT 2022","Wed Sep 21 00:12:46 GMT 2022","3644","firefox","registration.spec.js","","","","Register with blank form.",""
"passed","Wed Sep 21 00:13:07 GMT 2022","Wed Sep 21 00:13:14 GMT 2022","6893","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Wed Sep 21 00:12:46 GMT 2022","Wed Sep 21 00:12:51 GMT 2022","4867","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Wed Sep 21 00:12:22 GMT 2022","Wed Sep 21 00:12:27 GMT 2022","5434","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
