"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 08:47:53 GMT 2022","Fri Sep 16 08:47:58 GMT 2022","5309","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 08:48:12 GMT 2022","Fri Sep 16 08:48:20 GMT 2022","8410","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 08:47:58 GMT 2022","Fri Sep 16 08:48:04 GMT 2022","6247","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 08:48:04 GMT 2022","Fri Sep 16 08:48:12 GMT 2022","7634","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 08:46:51 GMT 2022","Fri Sep 16 08:46:56 GMT 2022","4872","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 08:46:56 GMT 2022","Fri Sep 16 08:47:02 GMT 2022","6069","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 08:47:02 GMT 2022","Fri Sep 16 08:47:08 GMT 2022","6163","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 08:47:35 GMT 2022","Fri Sep 16 08:47:42 GMT 2022","7676","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 08:47:28 GMT 2022","Fri Sep 16 08:47:35 GMT 2022","7102","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 08:46:47 GMT 2022","Fri Sep 16 08:46:51 GMT 2022","3700","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 08:47:09 GMT 2022","Fri Sep 16 08:47:17 GMT 2022","8733","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 08:47:22 GMT 2022","Fri Sep 16 08:47:28 GMT 2022","5913","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 08:47:17 GMT 2022","Fri Sep 16 08:47:22 GMT 2022","4326","firefox","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 08:47:44 GMT 2022","Fri Sep 16 08:47:53 GMT 2022","9109","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 08:46:41 GMT 2022","Fri Sep 16 08:46:47 GMT 2022","6333","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
