"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 04 15:43:13 GMT 2022","Tue Oct 04 15:43:16 GMT 2022","3557","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Oct 04 15:42:28 GMT 2022","Tue Oct 04 15:42:36 GMT 2022","7765","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:41:24 GMT 2022","Tue Oct 04 15:41:31 GMT 2022","6487","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"failed","Tue Oct 04 15:42:23 GMT 2022","Tue Oct 04 15:42:28 GMT 2022","4353","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"failed","Tue Oct 04 15:41:54 GMT 2022","Tue Oct 04 15:41:57 GMT 2022","2671","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Oct 04 15:43:17 GMT 2022","Tue Oct 04 15:43:24 GMT 2022","6716","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:42:07 GMT 2022","Tue Oct 04 15:42:12 GMT 2022","4784","firefox","registration.spec.js","","","","Register with blank form.",""
"failed","Tue Oct 04 15:43:32 GMT 2022","Tue Oct 04 15:43:36 GMT 2022","3869","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"failed","Tue Oct 04 15:42:46 GMT 2022","Tue Oct 04 15:42:51 GMT 2022","5023","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Oct 04 15:43:00 GMT 2022","Tue Oct 04 15:43:04 GMT 2022","3843","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Oct 04 15:41:43 GMT 2022","Tue Oct 04 15:41:48 GMT 2022","5462","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:41:58 GMT 2022","Tue Oct 04 15:42:07 GMT 2022","9412","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Tue Oct 04 15:42:52 GMT 2022","Tue Oct 04 15:43:00 GMT 2022","7885","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"failed","Tue Oct 04 15:41:40 GMT 2022","Tue Oct 04 15:41:42 GMT 2022","2321","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Oct 04 15:41:31 GMT 2022","Tue Oct 04 15:41:34 GMT 2022","3238","chromium","registration.spec.js","","","","Register with blank form.",""
