"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 23:11:47 GMT 2022","Tue Sep 20 23:11:59 GMT 2022","11756","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Tue Sep 20 23:11:30 GMT 2022","Tue Sep 20 23:11:34 GMT 2022","4103","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Sep 20 23:11:59 GMT 2022","Tue Sep 20 23:12:03 GMT 2022","3711","firefox","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Sep 20 23:11:40 GMT 2022","Tue Sep 20 23:11:46 GMT 2022","6635","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Sep 20 23:12:07 GMT 2022","Tue Sep 20 23:12:13 GMT 2022","6096","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Sep 20 23:12:45 GMT 2022","Tue Sep 20 23:12:54 GMT 2022","9105","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Sep 20 23:12:36 GMT 2022","Tue Sep 20 23:12:40 GMT 2022","3911","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Sep 20 23:12:40 GMT 2022","Tue Sep 20 23:12:45 GMT 2022","5685","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Sep 20 23:11:21 GMT 2022","Tue Sep 20 23:11:27 GMT 2022","6099","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Tue Sep 20 23:11:27 GMT 2022","Tue Sep 20 23:11:30 GMT 2022","3198","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Sep 20 23:12:13 GMT 2022","Tue Sep 20 23:12:20 GMT 2022","6760","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Sep 20 23:12:21 GMT 2022","Tue Sep 20 23:12:36 GMT 2022","14336","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Tue Sep 20 23:12:54 GMT 2022","Tue Sep 20 23:13:02 GMT 2022","7707","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Sep 20 23:12:03 GMT 2022","Tue Sep 20 23:12:07 GMT 2022","4781","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Sep 20 23:11:34 GMT 2022","Tue Sep 20 23:11:40 GMT 2022","5785","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
