"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 12:28:33 GMT 2022","Fri Sep 16 12:28:37 GMT 2022","3904","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 12:27:19 GMT 2022","Fri Sep 16 12:27:27 GMT 2022","7393","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 12:27:29 GMT 2022","Fri Sep 16 12:27:33 GMT 2022","3895","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 12:27:27 GMT 2022","Fri Sep 16 12:27:29 GMT 2022","2700","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 12:27:42 GMT 2022","Fri Sep 16 12:27:48 GMT 2022","5348","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 12:28:07 GMT 2022","Fri Sep 16 12:28:14 GMT 2022","6850","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 12:28:03 GMT 2022","Fri Sep 16 12:28:07 GMT 2022","4728","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 12:28:44 GMT 2022","Fri Sep 16 12:28:50 GMT 2022","6300","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 12:28:50 GMT 2022","Fri Sep 16 12:28:58 GMT 2022","8185","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 12:28:14 GMT 2022","Fri Sep 16 12:28:22 GMT 2022","7993","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 12:28:37 GMT 2022","Fri Sep 16 12:28:44 GMT 2022","6433","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 12:27:48 GMT 2022","Fri Sep 16 12:27:58 GMT 2022","9919","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 12:27:58 GMT 2022","Fri Sep 16 12:28:03 GMT 2022","4164","firefox","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 12:28:23 GMT 2022","Fri Sep 16 12:28:33 GMT 2022","9886","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 12:27:33 GMT 2022","Fri Sep 16 12:27:42 GMT 2022","9315","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
