"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 15:30:48 GMT 2022","Tue Oct 04 15:30:55 GMT 2022","6779","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"failed","Tue Oct 04 15:33:35 GMT 2022","Tue Oct 04 15:33:40 GMT 2022","4895","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"failed","Tue Oct 04 15:32:31 GMT 2022","Tue Oct 04 15:32:37 GMT 2022","6100","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Oct 04 15:33:13 GMT 2022","Tue Oct 04 15:33:22 GMT 2022","8797","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:31:12 GMT 2022","Tue Oct 04 15:31:18 GMT 2022","6526","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:30:55 GMT 2022","Tue Oct 04 15:30:58 GMT 2022","3704","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Oct 04 15:32:49 GMT 2022","Tue Oct 04 15:32:55 GMT 2022","5510","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Oct 04 15:31:32 GMT 2022","Tue Oct 04 15:31:43 GMT 2022","11235","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Tue Oct 04 15:31:43 GMT 2022","Tue Oct 04 15:31:48 GMT 2022","4747","firefox","registration.spec.js","","","","Register with blank form.",""
"failed","Tue Oct 04 15:31:07 GMT 2022","Tue Oct 04 15:31:11 GMT 2022","4017","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Oct 04 15:32:09 GMT 2022","Tue Oct 04 15:32:18 GMT 2022","9137","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:32:38 GMT 2022","Tue Oct 04 15:32:49 GMT 2022","11245","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"failed","Tue Oct 04 15:31:27 GMT 2022","Tue Oct 04 15:31:31 GMT 2022","3752","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"failed","Tue Oct 04 15:32:02 GMT 2022","Tue Oct 04 15:32:08 GMT 2022","6200","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"failed","Tue Oct 04 15:33:07 GMT 2022","Tue Oct 04 15:33:12 GMT 2022","5511","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
